Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
0.02259,-0.047143,0.024787,0.006035,0.008352,-0.009828
0.025394,-0.048093,0.023562,0.003589,0.010243,-0.012262
0.027931,-0.049042,0.021928,0.000999,0.012133,-0.014543
0.030334,-0.049719,0.020158,-0.001447,0.015333,-0.018954
0.033672,-0.050669,0.01621,-0.006195,0.016932,-0.020931
0.034607,-0.051075,0.014168,-0.008497,0.018241,-0.023061
0.035141,-0.051482,0.011853,-0.010655,0.020568,-0.026559
0.03474,-0.052024,0.007088,-0.014827,0.021586,-0.028232
0.034073,-0.05216,0.004637,-0.016698,0.022458,-0.029905
0.032871,-0.052296,0.002051,-0.018424,0.023767,-0.032947
0.030067,-0.052431,-0.003259,-0.02159,0.024349,-0.034316
0.028198,-0.052431,-0.005982,-0.023028,0.02464,-0.035685
0.026328,-0.052296,-0.008569,-0.024467,0.02493,-0.03827
0.022189,-0.051753,-0.014015,-0.027057,0.02493,-0.039335
0.020053,-0.051346,-0.016601,-0.028208,0.024785,-0.0404
0.017783,-0.05094,-0.019052,-0.029359,0.024058,-0.042225
0.013243,-0.049855,-0.023817,-0.031517,0.023476,-0.042985
0.010839,-0.049177,-0.026132,-0.032524,0.022604,-0.043594
0.008436,-0.048364,-0.02831,-0.033531,0.020713,-0.044506
0.003629,-0.046737,-0.032122,-0.035114,0.019404,-0.04481
0.001225,-0.045788,-0.033756,-0.035833,0.018096,-0.045115
-0.001045,-0.044703,-0.035253,-0.036409,0.016641,-0.045115
-0.005718,-0.042534,-0.038112,-0.03756,0.013297,-0.044963
-0.007988,-0.041314,-0.039202,-0.037848,0.011552,-0.04481
-0.010124,-0.039958,-0.040291,-0.038279,0.009806,-0.044506
-0.014397,-0.037111,-0.042197,-0.038567,0.00588,-0.043746
-0.016266,-0.035619,-0.043014,-0.038567,0.003844,-0.043137
-0.018136,-0.033992,-0.043694,-0.038423,0.001663,-0.042377
-0.019872,-0.03223,-0.044239,-0.038279,-0.002554,-0.040704
-0.02321,-0.028569,-0.045056,-0.037704,-0.004736,-0.039791
-0.024679,-0.026535,-0.045464,-0.037272,-0.006917,-0.038727
-0.026014,-0.024502,-0.045737,-0.036697,-0.010844,-0.036293
-0.028551,-0.020027,-0.046145,-0.035402,-0.012734,-0.034924
-0.029753,-0.017723,-0.046417,-0.034539,-0.014479,-0.033555
-0.030821,-0.015282,-0.046417,-0.033675,-0.017969,-0.030361
-0.033091,-0.010401,-0.046553,-0.031805,-0.019424,-0.028536
-0.034025,-0.008096,-0.046417,-0.030654,-0.021023,-0.026711
-0.035094,-0.00552,-0.046281,-0.029503,-0.023786,-0.022756
-0.03723,-0.000639,-0.0456,-0.026913,-0.02524,-0.020627
-0.038165,0.001801,-0.045192,-0.025618,-0.026549,-0.018498
-0.039233,0.004106,-0.044784,-0.024179,-0.029021,-0.013783
-0.040969,0.00858,-0.043694,-0.021158,-0.030185,-0.011349
-0.041903,0.010749,-0.043014,-0.019575,-0.031203,-0.008916
-0.042838,0.012919,-0.042333,-0.017849,-0.032221,-0.006482
-0.044574,0.01685,-0.040971,-0.014396,-0.033966,-0.001463
-0.045509,0.018749,-0.040291,-0.012669,-0.034838,0.000971
-0.04631,0.020647,-0.039474,-0.010799,-0.03542,0.003556
-0.047778,0.024036,-0.03784,-0.007058,-0.036583,0.008424
-0.048446,0.025663,-0.037023,-0.005188,-0.03702,0.010705
-0.04898,0.02729,-0.036206,-0.003317,-0.037456,0.012986
-0.049514,0.028646,-0.035253,-0.001447,-0.037747,0.017397
-0.050449,0.031222,-0.033211,0.00215,-0.037892,0.019375
-0.050716,0.032307,-0.032122,0.003877,-0.037747,0.0212
-0.050983,0.033256,-0.031033,0.005747,-0.037456,0.024546
-0.051117,0.034476,-0.028718,0.009056,-0.037311,0.025915
-0.050983,0.034883,-0.027493,0.010639,-0.03702,0.027131
-0.050716,0.034883,-0.026132,0.012222,-0.036147,0.028805
-0.050048,0.033798,-0.023409,0.015099,-0.035711,0.029109
-0.049514,0.032713,-0.021775,0.016538,-0.035275,0.029413
-0.048847,0.031222,-0.020277,0.017833,-0.034111,0.029261
-0.047111,0.026883,-0.016874,0.020135,-0.033384,0.028805
-0.046043,0.024172,-0.014968,0.021286,-0.032512,0.028196
-0.044841,0.021325,-0.013198,0.022149,-0.030621,0.026523
-0.042037,0.014817,-0.009249,0.023876,-0.029749,0.025458
-0.040301,0.011427,-0.007343,0.024739,-0.028585,0.02409
-0.038565,0.007767,-0.005301,0.025315,-0.026258,0.021352
-0.034292,0.000581,-0.000944,0.026178,-0.024804,0.019679
-0.032022,-0.00308,0.001234,0.026466,-0.02335,0.018006
-0.029352,-0.006605,0.003548,0.026609,-0.02175,0.016333
-0.023744,-0.013655,0.008041,0.026466,-0.018551,0.01253
-0.020673,-0.01718,0.010219,0.026322,-0.016806,0.010705
-0.017468,-0.020434,0.012398,0.02589,-0.014915,0.008728
-0.010792,-0.026671,0.016074,0.024451,-0.010989,0.004621
-0.00732,-0.029654,0.017708,0.023444,-0.008953,0.002492
-0.003715,-0.032365,0.019205,0.022437,-0.006917,0.000362
-0.00011,-0.034806,0.020567,0.020998,-0.002554,-0.003592
0.007368,-0.039144,0.022609,0.017977,-0.000373,-0.005721
0.011106,-0.041178,0.02329,0.01625,0.001808,-0.007699
0.014845,-0.04294,0.023698,0.01438,0.006316,-0.011501
0.021922,-0.046194,0.02397,0.010351,0.008498,-0.013326
0.024859,-0.047686,0.023698,0.008193,0.010534,-0.015152
0.027396,-0.049042,0.02329,0.006035,0.014605,-0.018498
0.031536,-0.051346,0.02152,0.001575,0.016496,-0.020171
0.033272,-0.05216,0.02043,-0.000727,0.018386,-0.021692
0.034473,-0.052838,0.019205,-0.002886,0.02144,-0.024734
0.036076,-0.054058,0.015938,-0.007346,0.022749,-0.026102
0.036343,-0.054465,0.014168,-0.009504,0.023912,-0.027471
0.036209,-0.054736,0.012126,-0.011518,0.025512,-0.030209
0.034874,-0.055143,0.007769,-0.015403,0.025948,-0.031426
0.033806,-0.055278,0.005318,-0.017273,0.026239,-0.032643
0.032337,-0.055414,0.002731,-0.019,0.026385,-0.033707
0.028865,-0.055414,-0.002714,-0.022165,0.025803,-0.035837
0.026862,-0.055278,-0.005573,-0.023748,0.025221,-0.036901
0.024726,-0.055007,-0.008433,-0.025187,0.024349,-0.037662
0.020053,-0.054194,-0.014423,-0.028064,0.022458,-0.039335
0.017649,-0.053516,-0.017418,-0.029503,0.021295,-0.040095
0.015112,-0.052838,-0.020413,-0.030798,0.020131,-0.040704
0.012575,-0.05216,-0.023272,-0.032093,0.017223,-0.041616
0.007368,-0.050397,-0.028718,-0.034251,0.015914,-0.041921
0.004831,-0.049313,-0.031169,-0.035114,0.014315,-0.042073
0.00216,-0.048364,-0.033483,-0.036121,0.011115,-0.042377
-0.003047,-0.046059,-0.037432,-0.037704,0.009516,-0.042377
-0.005584,-0.044839,-0.039202,-0.038279,0.007916,-0.042225
-0.008121,-0.043483,-0.040835,-0.038855,0.004426,-0.041768
-0.012795,-0.0405,-0.043286,-0.039862,0.002826,-0.041312
-0.015065,-0.038873,-0.044375,-0.04015,0.001081,-0.041008
-0.017068,-0.037246,-0.045464,-0.040438,-0.002264,-0.039943
-0.02094,-0.033721,-0.047098,-0.040581,-0.003863,-0.039335
-0.022809,-0.031687,-0.047643,-0.040438,-0.005463,-0.038574
-0.024545,-0.029789,-0.048187,-0.040294,-0.008371,-0.036749
-0.027616,-0.025722,-0.049004,-0.039718,-0.009826,-0.035837
-0.029085,-0.023552,-0.049413,-0.039287,-0.011134,-0.034772
-0.030554,-0.021248,-0.049685,-0.038567,-0.013897,-0.032338
-0.033091,-0.016502,-0.049821,-0.037128,-0.015061,-0.03097
-0.034292,-0.014062,-0.049821,-0.036265,-0.01637,-0.029449
-0.035494,-0.011486,-0.049685,-0.035402,-0.017533,-0.027928
-0.037631,-0.006469,-0.049004,-0.0331,-0.020005,-0.024582
-0.038565,-0.004029,-0.048596,-0.031949,-0.021314,-0.022756
-0.0395,-0.001453,-0.047915,-0.03051,-0.022332,-0.020779
-0.041236,0.003428,-0.04669,-0.027632,-0.024659,-0.016672
-0.042037,0.006004,-0.045873,-0.02605,-0.025677,-0.014391
-0.042705,0.008444,-0.045192,-0.024467,-0.026695,-0.01211
-0.043372,0.010885,-0.044375,-0.022741,-0.028585,-0.007395
