Channel1_Column3,Channel2_Column3,Channel3_Column3,Channel4_Column3,Channel5_Column3,Channel6_Column3
-0.002682,-0.001565,-0.001303,-0.006272,-0.003041,-0.005615
-0.002611,-0.001565,-0.001575,-0.006347,-0.002586,-0.004736
-0.002611,-0.00164,-0.002117,-0.006272,-0.002131,-0.004297
-0.002611,-0.001714,-0.002388,-0.006198,-0.001131,-0.003784
-0.002539,-0.001714,-0.002569,-0.006124,-0.000676,-0.002832
-0.002467,-0.001788,-0.003021,-0.005975,-0.00013,-0.00232
-0.002467,-0.001788,-0.003111,-0.005827,0.001052,-0.001807
-0.002395,-0.001788,-0.003292,-0.005678,0.001598,-0.000709
-0.002323,-0.001788,-0.003473,-0.005381,0.002235,-0.000196
-0.002251,-0.001714,-0.003563,-0.005233,0.003508,0.000389
-0.002108,-0.00164,-0.003473,-0.00501,0.004145,0.001488
-0.002036,-0.001565,-0.003473,-0.004564,0.004782,0.002
-0.001964,-0.001491,-0.003383,-0.004341,0.006055,0.002659
-0.001892,-0.001342,-0.003292,-0.004044,0.006692,0.003757
-0.001677,-0.001268,-0.002931,-0.00345,0.007237,0.00427
-0.001605,-0.001045,-0.00275,-0.003153,0.008329,0.004856
-0.001533,-0.000896,-0.002569,-0.002856,0.008784,0.005881
-0.001246,-0.000822,-0.002027,-0.002188,0.009238,0.006393
-0.001174,-0.000524,-0.001846,-0.001816,0.009693,0.006906
-0.00103,-0.000375,-0.001484,-0.001445,0.010421,0.007785
-0.000743,-0.000301,-0.001213,-0.000628,0.010785,0.008224
-0.000671,-4e-06,-0.000671,-0.000182,0.010967,0.00859
-0.000528,7.1e-05,-0.000309,0.000189,0.011512,0.009322
-0.00024,0.00022,-0.000128,0.00108,0.011694,0.009688
-9.7e-05,0.000443,0.000505,0.001451,0.011876,0.009981
-2.5e-05,0.000443,0.000685,0.001897,0.012149,0.010494
0.000262,0.000591,0.000957,0.002714,0.01224,0.010713
0.000334,0.000666,0.001318,0.00316,0.012331,0.010933
0.000478,0.00074,0.001409,0.003531,0.01224,0.011226
0.000693,0.00074,0.001499,0.004274,0.01224,0.011299
0.000765,0.00074,0.00168,0.004645,0.01224,0.011372
0.000909,0.000814,0.00168,0.004942,0.011967,0.011446
0.001053,0.00074,0.00177,0.005536,0.011785,0.011519
0.001196,0.00074,0.00168,0.005759,0.011603,0.011446
0.001268,0.000666,0.00168,0.006056,0.011239,0.011446
0.001412,0.000666,0.001589,0.006502,0.010967,0.011372
0.001483,0.000591,0.001499,0.006724,0.010785,0.011299
0.001555,0.000591,0.001499,0.006947,0.010239,0.011153
0.001699,0.000591,0.001409,0.007393,0.009875,0.011006
0.001843,0.000591,0.001409,0.007541,0.009602,0.01086
0.001843,0.000591,0.001409,0.007764,0.009057,0.01064
0.002058,0.000666,0.001409,0.008135,0.008693,0.010347
0.00213,0.000666,0.001409,0.008284,0.00842,0.010128
0.002202,0.000814,0.001499,0.008433,0.007783,0.009908
0.002489,0.000889,0.001589,0.00873,0.007419,0.009395
0.002561,0.000889,0.00168,0.008878,0.007146,0.009103
0.002704,0.001112,0.001861,0.008952,0.00651,0.008883
0.00292,0.001186,0.001951,0.009101,0.006237,0.008297
0.003064,0.001335,0.002313,0.009175,0.005964,0.008004
0.003207,0.001558,0.002493,0.009249,0.005418,0.007711
0.003423,0.001707,0.002674,0.009249,0.005054,0.007052
0.003566,0.001855,0.003036,0.009324,0.004872,0.006686
0.00371,0.002153,0.003307,0.009249,0.004327,0.00632
0.003854,0.002302,0.003488,0.009249,0.004054,0.005661
0.004069,0.00245,0.003759,0.009101,0.003781,0.005295
0.004213,0.002748,0.00394,0.009027,0.003326,0.005002
0.004356,0.002971,0.004121,0.008952,0.003053,0.004343
0.004644,0.00312,0.004301,0.008655,0.002871,0.003977
0.004787,0.003491,0.004482,0.008581,0.002689,0.003684
0.004859,0.00364,0.004573,0.008358,0.002326,0.003025
0.005147,0.003789,0.004753,0.008061,0.002144,0.002659
0.00529,0.004161,0.004844,0.007838,0.001962,0.002366
0.005362,0.004309,0.004934,0.007616,0.00178,0.001707
0.005506,0.004458,0.004934,0.00717,0.001598,0.001414
0.005577,0.004756,0.005025,0.006947,0.001507,0.001121
0.005649,0.00483,0.005025,0.00665,0.001416,0.000536
0.005649,0.005053,0.005025,0.006056,0.001325,0.000243
0.005649,0.005276,0.005025,0.005759,0.001325,-5e-05
0.005577,0.00535,0.005115,0.005462,0.001143,-0.000489
0.005434,0.005499,0.005115,0.004868,0.001143,-0.000709
0.00529,0.005648,0.005025,0.004496,0.001052,-0.000929
0.005218,0.005722,0.005025,0.004199,0.00087,-0.001148
0.004931,0.005797,0.005115,0.003531,0.000779,-0.001514
0.004787,0.005797,0.005025,0.003234,0.000688,-0.001734
0.004572,0.005871,0.005025,0.002937,0.000507,-0.001881
0.004285,0.005797,0.005025,0.002268,0.000416,-0.002173
0.004141,0.005797,0.005025,0.001971,0.000325,-0.00232
0.003997,0.005722,0.005025,0.001748,5.2e-05,-0.002466
0.003782,0.005648,0.005025,0.001154,-3.9e-05,-0.002759
0.003638,0.005574,0.004934,0.000857,-0.00013,-0.002906
0.003566,0.005425,0.004844,0.00056,-0.000312,-0.003052
0.003351,0.005276,0.004753,4e-05,-0.000312,-0.003345
0.003279,0.005202,0.004573,-0.000257,-0.000403,-0.003565
0.003207,0.004904,0.004482,-0.00048,-0.000403,-0.003711
0.003135,0.004756,0.004392,-0.000851,-0.000403,-0.004077
0.003064,0.004607,0.004211,-0.001148,-0.000403,-0.004297
0.003064,0.004235,0.003849,-0.001297,-0.000312,-0.004516
0.002992,0.004086,0.003578,-0.001742,-0.000221,-0.004883
0.002992,0.003789,0.003307,-0.001891,-0.00013,-0.005102
0.003064,0.003417,0.002765,-0.002039,-3.9e-05,-0.005249
0.003064,0.003194,0.002403,-0.002262,5.2e-05,-0.005615
0.003207,0.002971,0.002041,-0.002485,0.000143,-0.005761
0.003207,0.002599,0.001318,-0.002708,0.000325,-0.005908
0.003279,0.002376,0.000957,-0.002782,0.000416,-0.006201
0.003423,0.002227,0.000505,-0.003079,0.000507,-0.006274
0.003495,0.001855,-0.000399,-0.003227,0.000688,-0.00642
0.003638,0.001632,-0.000761,-0.003376,0.000688,-0.006567
0.003854,0.001484,-0.001123,-0.003673,0.000688,-0.00664
0.003926,0.001186,-0.001846,-0.003822,0.000688,-0.00664
0.004069,0.001037,-0.002117,-0.00397,0.000688,-0.006713
0.004285,0.000889,-0.002388,-0.004193,0.000597,-0.006713
0.004356,0.000591,-0.00284,-0.004341,0.000597,-0.006713
0.0045,0.000517,-0.002931,-0.00449,0.000325,-0.00664
0.004644,0.000368,-0.003021,-0.004861,0.000143,-0.006567
0.004716,0.000294,-0.003021,-0.00501,-3.9e-05,-0.006567
0.004787,7.1e-05,-0.002931,-0.005158,-0.000494,-0.00642
0.004859,-4e-06,-0.00284,-0.005455,-0.000767,-0.006347
0.004931,-0.000152,-0.002479,-0.005678,-0.00104,-0.006274
0.004931,-0.000301,-0.002207,-0.005827,-0.001676,-0.006127
0.004859,-0.000375,-0.001936,-0.006124,-0.001949,-0.005981
0.004859,-0.00045,-0.001213,-0.006272,-0.002222,-0.005908
0.004787,-0.000598,-0.000851,-0.006421,-0.00295,-0.005761
0.004644,-0.000598,-0.000399,-0.006718,-0.003223,-0.005542
0.0045,-0.000673,0.000505,-0.006867,-0.003496,-0.005395
0.004356,-0.000747,0.000957,-0.007015,-0.004041,-0.005249
0.004069,-0.000747,0.001409,-0.007238,-0.004314,-0.004956
0.003926,-0.000747,0.001861,-0.007386,-0.004496,-0.004809
0.003782,-0.000747,0.002674,-0.007461,-0.00486,-0.004663
0.003566,-0.000747,0.003126,-0.007609,-0.005042,-0.004297
0.003135,-0.000747,0.003397,-0.007684,-0.005224,-0.00415
0.00292,-0.000673,0.00394,-0.007684,-0.005406,-0.003931
0.002704,-0.000673,0.004121,-0.007684,-0.005588,-0.003638
0.002202,-0.000598,0.004301,-0.007684,-0.005588,-0.003418
0.001914,-0.000524,0.004482,-0.007609,-0.00577,-0.003272
0.001699,-0.000524,0.004482,-0.007386,-0.00577,-0.002906
0.001124,-0.000524,0.004392,-0.007312,-0.005679,-0.002686
0.000837,-0.00045,0.004211,-0.007164,-0.005679,-0.00254
0.000622,-0.000524,0.00403,-0.006792,-0.005588,-0.002173
-2.5e-05,-0.000524,0.003759,-0.006644,-0.005497,-0.001954
-0.00024,-0.000524,0.003217,-0.006421,-0.005224,-0.001734
-0.000599,-0.000598,0.002855,-0.006272,-0.005042,-0.001368
-0.001174,-0.000598,0.002403,-0.005827,-0.004769,-0.001148
-0.001461,-0.000747,0.001499,-0.005604,-0.004314,-0.000929
-0.001749,-0.000822,0.001047,-0.005381,-0.004041,-0.000489
-0.002467,-0.00097,0.000505,-0.004936,-0.003768,-0.00027
-0.002826,-0.001045,-0.00049,-0.004713,-0.003041,-0.000123
-0.003185,-0.001268,-0.001123,-0.00449,-0.002677,0.000316
-0.003903,-0.001416,-0.001575,-0.004044,-0.002222,0.000463
-0.004334,-0.001565,-0.00275,-0.003822,-0.001858,0.000682
-0.004693,-0.001863,-0.003202,-0.003525,-0.000949,0.001048
-0.005484,-0.002011,-0.003744,-0.003005,-0.000494,0.001195
-0.005843,-0.00216,-0.004739,-0.002782,-3.9e-05,0.001341
-0.006202,-0.002532,-0.0051,-0.002485,0.00087,0.001634
-0.006992,-0.002755,-0.005552,-0.001816,0.001325,0.00178
-0.007423,-0.002904,-0.006275,-0.001519,0.00178,0.001927
-0.007782,-0.00335,-0.006637,-0.001148,0.002689,0.002147
-0.0085,-0.003499,-0.006908,-0.00048,0.003144,0.00222
-0.008787,-0.003722,-0.007179,-0.000108,0.003508,0.002366
-0.009147,-0.004168,-0.007541,0.000263,0.004418,0.002513
-0.009506,-0.004391,-0.007812,0.001006,0.004872,0.002586
-0.010152,-0.00454,-0.007903,0.001303,0.005236,0.002659
-0.010511,-0.004986,-0.008083,0.001674,0.005964,0.002732
-0.010799,-0.005209,-0.008174,0.002417,0.006237,0.002879
-0.011373,-0.005358,-0.008174,0.002714,0.00651,0.002952
-0.01166,-0.005729,-0.008264,0.003011,0.007055,0.002952
-0.011876,-0.005953,-0.008174,0.003531,0.007237,0.003098
-0.012379,-0.006176,-0.008174,0.003828,0.007419,0.003172
-0.012666,-0.006473,-0.008083,0.004051,0.007692,0.003245
-0.012882,-0.006696,-0.007993,0.004422,0.007874,0.003465
-0.013241,-0.006845,-0.007993,0.004571,0.007965,0.003538
-0.013456,-0.007217,-0.007903,0.004719,0.008056,0.003611
-0.0136,-0.007365,-0.007812,0.005016,0.008056,0.003831
-0.013887,-0.007514,-0.007812,0.00509,0.008147,0.003977
-0.014031,-0.007886,-0.007722,0.005165,0.008238,0.004124
-0.014103,-0.008035,-0.007812,0.005239,0.008238,0.004343
-0.014246,-0.008183,-0.007812,0.005239,0.008238,0.00449
-0.014318,-0.008258,-0.007993,0.005239,0.008238,0.004709
-0.01439,-0.00863,-0.008083,0.005165,0.008238,0.004929
-0.01439,-0.008704,-0.008264,0.00509,0.008147,0.005149
-0.01439,-0.008853,-0.008535,0.005016,0.008147,0.005222
-0.01439,-0.00915,-0.008626,0.004942,0.008056,0.005588
-0.014246,-0.009224,-0.008897,0.004719,0.008056,0.005661
-0.014174,-0.009373,-0.009168,0.004645,0.007965,0.005808
-0.014103,-0.009596,-0.009349,0.004496,0.007874,0.0061
-0.013815,-0.009596,-0.00953,0.004348,0.007874,0.006247
-0.013672,-0.009745,-0.00962,0.004199,0.007783,0.006393
-0.013528,-0.009894,-0.009982,0.004125,0.007692,0.006613
-0.013169,-0.009894,-0.010072,0.003902,0.007692,0.006686
-0.012953,-0.009968,-0.010163,0.003828,0.007692,0.006833
-0.012738,-0.010042,-0.010343,0.003754,0.007601,0.007052
-0.012522,-0.010117,-0.010343,0.003679,0.007601,0.007126
-0.01202,-0.010117,-0.010434,0.003679,0.007601,0.007199
-0.01166,-0.010117,-0.010343,0.003605,0.007601,0.007418
-0.011373,-0.010117,-0.010343,0.003605,0.007601,0.007565
-0.010655,-0.010117,-0.010253,0.003605,0.007601,0.007638
-0.010224,-0.010042,-0.010163,0.003679,0.007601,0.007785
-0.009865,-0.009968,-0.010072,0.003754,0.007692,0.007858
-0.008931,-0.009894,-0.009891,0.003754,0.007692,0.007931
-0.0085,-0.009671,-0.00953,0.003828,0.007783,0.008077
-0.007997,-0.009596,-0.009349,0.003976,0.007783,0.008151
-0.006992,-0.009448,-0.009168,0.004051,0.007783,0.008151
-0.006417,-0.00915,-0.008626,0.004051,0.007783,0.008151
-0.005843,-0.009001,-0.008445,0.004199,0.007783,0.008151
-0.004622,-0.008853,-0.008083,0.004199,0.007783,0.008077
-0.003975,-0.00863,-0.007451,0.004274,0.007692,0.008004
